TreeDepth,Variable,Value
0,Kernel Base,0xf8021e000000
0,DTB,0x1aa000
0,Symbols,file:///home/anton/volatility3/volatility3/symbols/windows/ntkrnlmp.pdb/F57E740B088E5056E8AF0772F1CC5BEB-1.json.xz
0,Is64Bit,True
0,IsPAE,False
0,layer_name,0 WindowsIntel32e
0,memory_layer,1 Elf64Layer
0,base_layer,2 FileLayer
0,KdVersionBlock,0xf8021ec0f400
0,Major/Minor,15.19041
0,MachineType,34404
0,KeNumberProcessors,2
0,SystemTime,2026-04-18 17:45:39+00:00
0,NtSystemRoot,C:\\Windows
0,NtProductType,NtProductWinNt
0,NtMajorVersion,10
0,NtMinorVersion,0
0,PE MajorOperatingSystemVersion,10
0,PE MinorOperatingSystemVersion,0
0,PE Machine,34404
0,PE TimeDateStamp,Sat Feb  2 23:04:03 1985

